moduleName,featureName,stepDesc,precondition,controlType,inputText,controlAction,expectation,expectationLog,optional
消息中心,首次启动app,允许喜马拉雅定位,Id==android:id/button1,,,,,,
,,>>点击允许,,Id=android:id/button1,,click,,,1.0
,,选择是否是开发者,Id==com.ximalaya.ting.android:id/main_ok_btn,,,,,,
,,>>点击是,,Id=com.ximalaya.ting.android:id/main_ok_btn,,click,,,1.0
,,判断是否有广告悬浮按钮,Id==com.ximalaya.ting.android.main.application:id/main_ad_broadside_close,,,,,,
,,>>点击关闭,,Id=com.ximalaya.ting.android.main.application:id/main_ad_broadside_close,,click,,,1.0
,,判断是否有广告,Id==com.ximalaya.ting.android.main.application:id/main_close_ad,,,,,,
,,>>点击关闭,,Id=com.ximalaya.ting.android.main.application:id/main_close_ad,,click,,,1.0
,,判断是否有升级提醒,Id==com.ximalaya.ting.android:id/neutral_btn,,,,,,
,,>>点击忽略,,Id=com.ximalaya.ting.android:id/neutral_btn,,click,,,1.0
,,判断是否有选择兴趣页,Id==com.ximalaya.ting.android:id/main_btn_skip,,,,,,
,,>>点击跳过,,Id=Id==com.ximalaya.ting.android:id/main_btn_skip,,click,,,1.0
,,点击未登录，进入我页,,text=未登录,,click,,,
,,点击登录领积分，进入登录页,,text=登录领积分,,click,,,
,,点击邮箱登录，切换到邮箱登录页,,text=邮箱登录,,click,,,
,,判断默认账号是否存在,text!=tiny123@163.com,,,,,,
,,>>输入默认邮箱账号,,Id=com.ximalaya.ting.android.main.application:id/main_username,tiny123@163.com,typewrite,,,
,,>>输入默认邮箱密码,,Id=com.ximalaya.ting.android.main.application:id/main_password,111111,typewrite,,,
,,邮箱登录页面点击登录,,Id=com.ximalaya.ting.android.main.application:id/main_login,,click,text==我的,消息中心_登录_判断我的存在,
,,判断是否有推送,Id==com.ximalaya.ting.android:id/rl_custom_notification,,,,,,
,,>>等待10s,,10,,sleep,,,
,,我页点击消息中心,,desc=消息中心,,click,text==通知,消息中心_判断通知存在,
,,,,,,,,,
,通知,消息中心页点击通知,,text=通知,,click,text==听友圈,通知_判断听友圈存在,
,,消息中心页通知栏点击听友圈,,text=听友圈,,click,text==听友圈通知,通知_判断听友圈通知存在,
,,返回到消息中心页通知栏,,,,back,text==消息中心,通知_判断返回消息中心成功,
,,消息中心页点击聊天,,text=聊天,,click,text!=听友圈,通知_判断听友圈不存在,
,,,,,,,,,
,聊天页面,消息中心页面点击聊天框,,Id=com.ximalaya.ting.android.chat.application:id/chat_img_privateMsg_userHead,,click,text==未关注人消息||Id==com.ximalaya.ting.android.chat.application:id/view_keyboard_face_icon,聊天页面_判断是否进入聊天界面,
,,,,,,,,,
,消息忽略,消息中心页点右上角忽略消息按钮,,Id=com.ximalaya.ting.android:id/layout_right,,click,text==忽略未读消息,消息忽略_判断是否弹出弹框,
,,弹窗点击取消,,Id=com.ximalaya.ting.android:id/cancel_btn,,click,,,
>>>>>>>>,,,,,,,,,
我页,首次启动app,允许喜马拉雅定位,Id==android:id/button1,,,,,,
,,>>点击允许,,Id=android:id/button1,,click,,,1.0
,,选择是否是开发者,Id==com.ximalaya.ting.android:id/main_ok_btn,,,,,,
,,>>点击是,,Id=com.ximalaya.ting.android:id/main_ok_btn,,click,,,1.0
,,判断是否有广告悬浮按钮,Id==com.ximalaya.ting.android.main.application:id/main_ad_broadside_close,,,,,,
,,>>点击关闭,,Id=com.ximalaya.ting.android.main.application:id/main_ad_broadside_close,,click,,,1.0
,,判断是否有广告,Id==com.ximalaya.ting.android.main.application:id/main_close_ad,,,,,,
,,>>点击关闭,,Id=com.ximalaya.ting.android.main.application:id/main_close_ad,,click,,,1.0
,,判断是否有升级提醒,Id==com.ximalaya.ting.android:id/neutral_btn,,,,,,
,,>>点击忽略,,Id=com.ximalaya.ting.android:id/neutral_btn,,click,,,1.0
,,判断是否有选择兴趣页,Id==com.ximalaya.ting.android:id/main_btn_skip,,,,,,
,,>>点击跳过,,Id=Id==com.ximalaya.ting.android:id/main_btn_skip,,click,,,1.0
,,点击未登录，进入我页,,text=未登录,,click,,,
,,点击登录领积分，进入登录页,,text=登录领积分,,click,,,
,,点击邮箱登录，切换到邮箱登录页,,text=邮箱登录,,click,,,
,,判断默认账号是否存在,text!=tiny123@163.com,,,,,,
,,>>输入默认邮箱账号,,Id=com.ximalaya.ting.android.main.application:id/main_username,tiny123@163.com,typewrite,,,
,,>>输入默认邮箱密码,,Id=com.ximalaya.ting.android.main.application:id/main_password,111111,typewrite,,,
,,邮箱登录页面点击登录,,Id=com.ximalaya.ting.android.main.application:id/main_login,,click,text==我的,消息中心_登录_判断我的存在,
,,判断是否有推送,Id==com.ximalaya.ting.android:id/rl_custom_notification,,,,,,
,,>>等待10s,,10,,sleep,,,
,,,,,,,,,
,我的钱包/喜点,我页点击我的钱包,,940-600,,click,text==我的钱包,我的钱包/喜点_判断是否进入我的钱包页面,
,,我的钱包页点击喜点充值,,Id=com.ximalaya.ting.android.main.application:id/main_wallet_xidian_charge,,click,Id==com.ximalaya.ting.android.main.application:id/main_tv_recharge_hint,我的钱包/喜点_判断是否进入喜点充值页面,
,,喜点充值页点击常见问题,,text=常见问题,,click,text==意见反馈,我的钱包/喜点_判断是否进入常见问题页,
,,常见问题页点击意见反馈,,text=意见反馈,,click,text==帮助与反馈,我的钱包/喜点_判断是否进入反馈页面,
,,返回,,,,back,,,
,,返回,,,,back,,,
,,喜点充值页上滑到充值说明处,,Id=com.ximalaya.ting.android.main.application:id/main_tv_rule,,scroll&&click,,,
,,喜点充值页点击其他金额,,Id=com.ximalaya.ting.android.main.application:id/main_tv_other_money,,click,,,
,,喜点充值页点击金额输入栏,,Id=com.ximalaya.ting.android.main.application:id/main_et_input_money,,click,,,
,,喜点充值页输入金额,,,10,typewrite,,,
,,喜点充值页点击支付宝支付,,Id=com.ximalaya.ting.android.main.application:id/main_layout_ali_pay,,click,,,
,,喜点充值页点击立即充值,,Id=com.ximalaya.ting.android.main.application:id/main_tv_pay_now,,click,,,
,,等待10s,,10,,sleep,,,
,,判断是否存在允许风险,Id==com.miui.securitycenter:id/alertTitle,,,,,,
,,>>点击继续支付,,Id=android:id/button2,,click,Id==com.ali.user.mobile.security.ui:id/avatar,我的钱包/喜点_判断是否进入支付宝,
,,返回,,,,back,,,
,,判断是否存在是否加入,Id==com.alipay.mobile.antui:id/ensure,,,,,,
,,>>点击取消,,Id=com.alipay.mobile.antui:id/cancel,,click,text==喜点充值,我的钱包/喜点_判断是否返回喜点充值界面（支）,
,,喜点充值页点击微信支付,,Id=com.ximalaya.ting.android.main.application:id/main_tv_wechat_pay,,click,,,
,,喜点充值页点击立即充值,,Id=com.ximalaya.ting.android.main.application:id/main_tv_pay_now,,click,,,
,,等待10s,,10,,sleep,,,
,,判断是否存在允许风险,Id==com.miui.securitycenter:id/alertTitle,,,,,,
,,>>点击继续支付,,Id=android:id/button2,,click,,,
,,判断是否存在登录微信,text==登录微信,,,,,,
,,>>判断是否进入微信,,,,,text==登录微信,我的钱包/喜点_判断是否进入微信界面,
,,>>返回,,,,back,,,
,,判断是否进入微信交易,text==喜马拉雅FM－喜点充值,,,,,,
,,>>判断是否进入微信支付,,,,,text==喜马拉雅FM－喜点充值,我的钱包/喜点_判断是否进入微信支付,
,,>>返回,,,,back,,,
,,判断是否回到喜点充值页面,,,,,text==喜点充值,我的钱包/喜点_判断是否返回喜点充值界面（微）,
,,返回并判断是否回到我的钱包页面,,,,back,text==我的钱包,我的钱包/喜点_判断是否返回我的钱包页面,
,,,,,,,,,
,我的钱包/喜钻,我页点击我的钱包,,940-600,,click,text==我的钱包,我的钱包/喜钻_判断是否进入我的钱包页面,
,,我的钱包页点击喜钻充值,,Id=com.ximalaya.ting.android.main.application:id/main_wallet_xizuan_recharge_btn,,click,Id==com.ximalaya.ting.android.main.application:id/main_account_hint,我的钱包/喜钻_判断是否进入喜钻充值页面,
,,喜钻充值页点击常见问题,,text=常见问题,,click,text==意见反馈,我的钱包/喜钻_判断是否进入常见问题页,
,,返回并判断是否回到喜钻充值界面,,,,back,text==喜钻充值,我的钱包/喜钻_判断是否返回到喜钻充值界面,
,,喜钻充值页面点击喜点兑换,,text=喜点兑换,,click,Id==com.ximalaya.ting.android.main.application:id/main_exchange_confirm,我的钱包/喜钻_判断是否进入喜点兑换栏,
,,喜钻充值页面点击喜钻充值,,350-530,,click,Id==com.ximalaya.ting.android.main.application:id/main_recharge_diamond_pay_ZhiFuBao,我的钱包/喜钻_判断是否进入喜钻充值栏,
,,喜钻充值页上滑到充值说明处,,Id=com.ximalaya.ting.android.main.application:id/main_tv_rule,,scroll&&click,,,
,,喜钻充值页点击其他金额,,Id=com.ximalaya.ting.android.main.application:id/main_tv_other_money,,click,,,
,,喜钻充值页点击金额输入栏,,Id=com.ximalaya.ting.android.main.application:id/main_et_input_money,,click,,,
,,喜钻充值页输入金额,,,10,typewrite,,,
,,喜钻充值页选择支付宝支付,,Id=com.ximalaya.ting.android.main.application:id/main_recharge_diamond_pay_ZhiFuBao,,click,,,
,,喜钻充值页选择立即充值,,Id=com.ximalaya.ting.android.main.application:id/main_recharge_diamond_pay_button,,click,,,
,,等待10s,,10,,sleep,,,
,,判断是否存在允许风险,Id==com.miui.securitycenter:id/alertTitle,,,,,,
,,>>点击继续支付,,Id=android:id/button2,,click,Id==com.ali.user.mobile.security.ui:id/avatar,我的钱包/喜钻_判断是否进入支付宝,
,,返回,,,,back,,,
,,判断是否存在是否加入,Id==com.alipay.mobile.antui:id/ensure,,,,,,
,,>>点击取消,,Id=com.alipay.mobile.antui:id/cancel,,click,text==喜点充值,我的钱包/喜钻_判断是否返回喜点充值界面（支）,
,,喜钻充值页点击微信支付,,Id=com.ximalaya.ting.android.main.application:id/main_recharge_diamond_pay_WeiXin,,click,,,
,,喜钻充值页点击立即充值,,Id=com.ximalaya.ting.android.main.application:id/main_recharge_diamond_pay_button,,click,,,
,,等待10s,,10,,sleep,,,
,,判断是否存在允许风险,Id==com.miui.securitycenter:id/alertTitle,,,,,,
,,>>点击继续支付,,Id=android:id/button2,,click,,,
,,判断是否存在登录微信,text==登录微信,,,,,,
,,>>判断是否进入微信,,,,,text==登录微信,我的钱包/喜钻_判断是否进入微信界面,
,,>>返回,,,,back,,,
,,判断是否进入微信交易,text==收款方,,,,,,
,,>>判断是否进入微信支付,,,,,text==收款方,我的钱包/喜钻_判断是否进入微信支付,
,,>>返回,,,,back,,,
,,判断是否回到喜钻充值页面,,,,,text==喜钻充值,我的钱包/喜钻_判断是否返回喜钻充值界面（微）,
,,返回并判断是否回到我的钱包页面,,,,back,text==我的钱包,我的钱包/喜钻_判断是否返回我的钱包页面,
,,,,,,,,,
,我的钱包/其他,我页点击我的钱包,,940-600,,click,text==我的钱包,我的钱包/其他_判断是否进入我的钱包页面,
,,滑到底部,,Id=com.ximalaya.ting.android.main.application:id/main_wallet_creditCard,,scroll&&click,,,
,,我的钱包页点击优惠券,,Id=com.ximalaya.ting.android.main.application:id/main_wallet_coupon,,click,text==优惠券&&text==可用券,我的钱包/其他_判断是否进入优惠券页面,
,,优惠券页面点击已失效栏,,text=已失效,,click,,,
,,优惠券界面点击可用券栏,,text=可用券,,click,,,
,,优惠券页面点击兑换优惠券,,558-1857,,click,text==兑换码,我的钱包/其他_判断是否进入兑换优惠券页面,
,,兑换码页面点击兑换,,524-506,,click,text==请输入兑换码,我的钱包/其他_判断是否点击兑换成功,
,,兑换码页面输入任意兑换码,,Id=j-codeText,123456789,typewrite,,,
,,兑换码页面点击兑换,,Id=j-submit,,click,text==请输入完整的兑换码,我的钱包/其他_判断兑换按钮是否有效,
,,返回,,,,back,,,
,,返回并判断是否回到我的钱包页面,,,,back,text==我的钱包,我的钱包/其他_判断是否返回我的钱包页面（优）,
,,我的钱包页点击代金券,,Id=com.ximalaya.ting.android.main.application:id/main_tv_voucher,,click,text==代金券&&text==可用券,我的钱包/其他_判断是否进入代金券页面,
,,代金券页面点击已失效栏,,text=已失效,,click,,,
,,代金券界面点击可用券栏,,text=可用券,,click,,,
,,返回并判断是否回到我的钱包页面,,,,back,text==我的钱包,我的钱包/其他_判断是否返回我的钱包页面（代）,
,,我的钱包页点击摇一摇奖券,,Id=com.ximalaya.ting.android.main.application:id/main_yaoyiyao_privilege,,click,text==优惠券&&text==可用券,我的钱包/其他_判断是否进入摇一摇奖券页面,
,,摇一摇奖券页面点击已失效栏,,text=已失效,,click,,,
,,摇一摇奖券界面点击可用券栏,,text=可用券,,click,,,
,,返回并判断是否回到我的钱包页面,,,,back,text==我的钱包,我的钱包/其他_判断是否返回我的钱包页面（摇）,
,,我的钱包页点击交易记录,,Id=com.ximalaya.ting.android.main.application:id/main_tv_deal_log,,click,text==交易记录&&text==喜点,我的钱包/其他_判断是否进入交易记录页面,
,,交易记录页面点击已失效栏,,text=喜钻,,click,,,
,,交易记录界面点击可用券栏,,text=喜点,,click,,,
,,返回并判断是否回到我的钱包页面,,,,back,text==我的钱包,我的钱包/其他_判断是否返回我的钱包页面（交）,
,,我的钱包页点击赠送记录,,Id=com.ximalaya.ting.android.main.application:id/main_tv_send_present_record,,click,text!=我的钱包&&text==赠送记录,我的钱包/其他_判断是否进入赠送记录页面,
,,返回并判断是否回到我的钱包页面,,,,back,text==我的钱包,我的钱包/其他_判断是否返回我的钱包页面（赠）,
,,我的钱包页点击我的拼团,,Id=com.ximalaya.ting.android.main.application:id/main_tv_my_groupon,,click,text==我发起的拼团,我的钱包/其他_判断是否进入我的拼团页面,
,,我的拼团页面点击我参与的拼团栏,,text=我参与的拼团,,click,,,
,,我的拼团界面点击我发起的拼团栏,,text=我发起的拼团,,click,,,
,,返回并判断是否回到我的钱包页面,,,,back,text==我的钱包,我的钱包/其他_判断是否返回我的钱包页面（我）,
,,我的钱包页面点击兑换码,,Id=com.ximalaya.ting.android.main.application:id/main_redeem_code,,click,text!=我的钱包&&text==兑换码,我的钱包/其他_判断是否进入兑换页面,
,,兑换码页面点击兑换,,524-506,,click,text==请输入兑换码,我的钱包/其他_判断是否点击兑换成功,
,,兑换码页面输入任意兑换码,,Id=j-codeText,123456789,typewrite,,,
,,兑换码页面点击兑换,,Id=j-submit,,click,text==请输入完整的兑换码,我的钱包/其他_判断兑换按钮是否有效（兑）,
,,返回并判断是否回到我的钱包页面,,,,back,text==我的钱包,我的钱包/其他_判断是否返回我的钱包页面（兑）,
,,我的钱包页面点击发票,,Id=com.ximalaya.ting.android.main.application:id/main_wallet_invoice,,click,text==我要开票,我的钱包/其他_判断是否进入发票页面,
,,发票页点击开票说明,,text=faq,,click,text==开票说明,我的钱包/其他_判断是否进入开票说明页面,
,,返回,,,,back,,,
,,发票 页点击我要开票,,text=我要开票,,click,,,
,,返回并判断是否回到我的钱包页面,,,,back,text==我的钱包,我的钱包/其他_判断是否返回我的钱包页面（发）,
,,上滑,,900-1400-900-200,,swipe,,,
,,我的钱包页面点击我要开卡,,Id=com.ximalaya.ting.android.main.application:id/main_wallet_creditCard,,click,text==我要开卡&&Id==com.ximalaya.ting.android:id/comp_actionbar_icon,我的钱包/其他_判断是否进入我要开卡页面,
,,,,,,,,,
,已购,我页点击已购,,100-600,,click,,,
,,已购页点击主播会员,,text=主播会员,,click,text!=已购&&text==主播会员,已购_判断是否进入主播会员页,
,,主播会员页点击没找到已购会员,,Id=com.ximalaya.ting.android.main.application:id/main_btn_load_more,,click,text==没找到已购内容?,已购_判断是否进入主播会员帮助页,
,,返回,,,,back,,,
,,返回,,,,back,,,
,,已购页点击任一专辑下拉箭头,,Id=com.ximalaya.ting.android.main.application:id/main_iv_more,,click,,,
,,弹出栏点击联系客服,,text=联系客服,,click,text==帮助与反馈,已购_判断点击联系客服成功,
,,返回,,,,back,,,
,,已购页点击任一专辑下拉箭头,,Id=com.ximalaya.ting.android.main.application:id/main_iv_more,,click,,,
,,弹出栏点击私信主播,,text=私信主播,,click,Id==com.ximalaya.ting.android.chat.application:id/view_keyboard_face_icon,已购_判断点击私信主播成功,
,,返回,,,,back,,,
,,已购页点击任一专辑下拉箭头,,Id=com.ximalaya.ting.android.main.application:id/main_iv_more,,click,,,
,,弹出栏点击申请退款,,text=申请退款,,click,text==专辑退款,已购_判断点击申请退款成功,
,,申请退款页点击联系客服,,text=联系客服,,click,text==帮助与反馈,已购_判断点击联系客服成功（申）,
,,返回,,,,back,,,
,,申请退款页点击取消,,Id=com.ximalaya.ting.android.main.application:id/main_btn_cancel,,click,text==已购,已购_判断回到已购页成功,
,,已购页点击任一专辑下拉箭头,,Id=com.ximalaya.ting.android.main.application:id/main_iv_more,,click,,,
,,弹出栏点击关闭,,text=关闭,,click,text==已购,已购_判断点击关闭成功,
,,,,,,,,,
,优惠券/喜点/喜钻,我页点击优惠券,,300-600,,click,text==优惠券&&text==可用券,优惠券/喜点/喜钻_判断是否进入优惠券页,
,,返回,,,,back,,,
,,我页点击喜点,,500-600,,click,text==喜点充值,优惠券/喜点/喜钻_判断点击喜点是否成功,
,,返回,,,,back,,,
,,我页点击直播喜钻,,700-600,,click,text==喜钻充值,优惠券/喜点/喜钻_判断点击直播喜钻是否成功,
,,,,,,,,,
,录音栏,我页点击我要录音,,140-900,,click,,,
,,录音界面关闭提示,,270-1550,,click,,,1.0
,,判断是否进入录音界面,,,,,text==添加配乐,录音栏_判断是否进入录音界面,
,,返回,,,,back,,,
,,我页点击我要直播,,400-900,,click,,,
,,判断是否有正在直播的提示,text==继续直播,,,,,,
,,>>点击继续直播,,text=继续直播,,click,,,
,,判断是否有权限录音,Id==android:id/button1,,,,,,
,,>>点击允许,,Id=android:id/button1,,click,,,
,,等待10s,,10,,sleep,,,
,,判断点击我要直播是否成功,,,,,text==创建直播||text==分享至,录音栏_判断点击我要直播是否成功,
,,判断是否分享弹框,text==分享至,,,,,,
,,>>返回,,,,back,,,
,,返回,,,,back,,,
,,判断是否有结束直播的提示,text==结束直播,,,,,,
,,>>点击结束直播,,text=结束直播,,click,,,
,,>>关闭直播界面,,Id=com.ximalaya.ting.android.live.application:id/live_back_btn,,click,,,
,,判断是否回到我页,,,,,text==我的,录音栏_判断是否回到我页,
,,我页点击我的作品,,670-900,,click,text==我的声音,录音栏_判断是否进入我的作品页,
,,,,,,,,,
,巅峰会员列,我页点击巅峰会员,,530-1125,,click,text==我的巅峰会员,巅峰会员列_判断是否进入巅峰会员,
,,返回,,,,back,,,
,,我页点击分享挣钱,,530-1250,,click,text==4.获得佣金,巅峰会员列_判断是否进入分享挣钱页,
,,返回,,,,back,,,
,,我页点击积分商城,,530-1390,,click,text==我要赚积分,巅峰会员列_判断是否进入积分商城页,
,,返回,,,,back,,,
,,我页点击我的游戏,,530-1520,,click,text==礼包,巅峰会员列_判断是否进入我的游戏页,
,,返回并判断是否回到我页,,,,back,desc==设置,巅峰会员列_判断是否返回我页,
,,我页点击扫一扫,,530-1660,,click,,,
,,判断是否有权限录音,Id==android:id/button1,,,,,,
,,>>点击允许,,Id=android:id/button1,,click,,,
,,判断是否进入扫一扫页面,,,,,text==支持扫描进入,巅峰会员列_判断是否进入扫一扫页面,
,,返回,,,,back,,,
,,上滑,,560-1440-560-1000,,swipe,,,
,,我页打开夜间模式,,960-1550,,click,,,
,,我页关闭夜间模式,,960-1550,,click,,,
,,我页点击帮助与反馈,,800-1640,,click,text==反馈记录,巅峰会员列_判断是否进入帮助与反馈页面,
,,帮助与反馈页点击反馈记录,,text=反馈记录,,click,text!=帮助与反馈&&text==反馈记录,巅峰会员列_判断是否进入反馈页面,
,,反馈记录页点击任一记录,,Id=com.ximalaya.ting.android.main.application:id/main_iv_arrow,,click,text==反馈详情,巅峰会员列_判断是否进入某一记录页,
,,反馈详情页点击详细信息,,text=详细信息,,click,Id==com.ximalaya.ting.android.main.application:id/main_created,巅峰会员列_判断是否进入某一记录详情页,
,,,,,,,,,
,设置,我页点击设置,,desc=设置,,click,text=智能硬件,设置_判断是否进入设置页,
,,设置页点击智能硬件,,Id=com.ximalaya.ting.android.main.application:id/main_tv_hardware,,click,,,
,,判断是否有提示弹窗,Id==com.ximalaya.ting.android:id/msg_tv,,,,,,
,,>>点击取消,,Id=com.ximalaya.ting.android:id/cancel_btn,,click,,,
,,设置页点击车载模式,,Id=com.ximalaya.ting.android.main.application:id/main_tv_carmode,,click,,,
,,判断是否有提示弹窗,Id==com.ximalaya.ting.android:id/msg_tv,,,,,,
,,>>点击取消,,Id=com.ximalaya.ting.android:id/cancel_btn,,click,,,
,,设置页点击智能手表,,Id=com.ximalaya.ting.android.main.application:id/main_tv_watch,,click,,,
,,判断是否有提示弹窗,Id==com.ximalaya.ting.android:id/msg_tv,,,,,,
,,>>点击取消,,Id=com.ximalaya.ting.android:id/cancel_btn,,click,,,
,,设置页点击特色闹铃,,Id=com.ximalaya.ting.android.main.application:id/main_tv_special_alarm,,click,text==闹铃开关,设置_判断是否进入特色闹铃页,
,,判断闹铃是打开,text==重复,,,,,,
,,>>关闭闹铃,,Id=com.ximalaya.ting.android.main.application:id/main_wakeupswitch,,click,text!=重复,设置_判断成功关闭闹铃,
,,判断闹铃是关闭,tex!=重复,,,,,,
,,>>打开闹铃,,Id=com.ximalaya.ting.android.main.application:id/main_wakeupswitch,,click,text==重复,设置_判断成功打开闹铃,
,,>>关闭闹铃,,Id=com.ximalaya.ting.android.main.application:id/main_wakeupswitch,,click,,,
,,特色闹铃页点击帮助,,text=帮助,,click,text==闹铃帮助,设置_判断进入闹铃帮助成功,
,,返回,,,,back,,,
,,返回,,,,back,,,
,,设置页点击定时关闭,,Id=com.ximalaya.ting.android.main.application:id/main_tv_timing_shutdown,,click,Id==com.ximalaya.ting.android.main.application:id/main_terminate_title,设置_判断点击定时关闭成功,
,,关闭定时关闭,,Id=com.ximalaya.ting.android.main.application:id/main_dismiss,,click,,,
,,设置页点击账号绑定,,Id=com.ximalaya.ting.android.main.application:id/main_tv_account_bind,,click,text==手机号绑定,设置_判断是否进入账号绑定页,
,,返回,,,,back,,,
,,设置页点击修改密码,,Id=com.ximalaya.ting.android.main.application:id/main_tv_change_pwd,,click,text==新密码,设置_判断是否进入修改密码页,
,,返回,,,,back,,,
,,设置页点击推送设置,,Id=com.ximalaya.ting.android.main.application:id/main_tv_push_set,,click,text==每日精选,设置_判断是否进入推送设置页,
,,返回,,,,back,,,
,,设置页点击隐私设置,,Id=com.ximalaya.ting.android.main.application:id/main_privacySetting,,click,text==黑名单,设置_判断是否进入隐私设置页,
,,返回,,,,back,,,
,,滑动到退出登录按钮处,,Id=com.ximalaya.ting.android.main.application:id/main_tv_login,,scroll&&click,,,
